#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Horse crab sunder 36" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Horse crab sunder 36" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Horse crab sunder 36" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Horse crab sunder 36" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Horse crab sunder 36" name="distribution" x="@birthRate.t:Horse crab sunder 36">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Horse crab sunder 36" name="distribution">
#            <parameter id="gammaShape.s:Horse crab sunder 36" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Horse crab sunder 36" id="treeLikelihood.Horse crab sunder 36" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Horse crab sunder 36">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Horse crab sunder 36" shape="@gammaShape.s:Horse crab sunder 36" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Horse crab sunder 36" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Horse crab sunder 36" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Horse crab sunder 36" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Horse crab sunder 36" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Horse crab sunder 36" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	gammaShape	mutationRate
50000	-1902.2984561995418	-2022.5536529011317	120.25519670159008	-2022.5536529011317	0.10993352314048416	0.39751581252041407	120.25519670159008	64.93039979153804	0.24203062320825824	1.0
51000	-1907.3286891441205	-2029.9192076333754	122.59051848925498	-2029.9192076333754	0.1053306980563288	0.38232693832263487	122.59051848925498	76.95167266598314	0.24203062320825824	1.0
52000	-1909.7363652620154	-2024.127450421747	114.3910851597316	-2024.127450421747	0.12829254234263915	0.45776914680723746	114.3910851597316	51.54890280775093	0.24203062320825824	1.0
53000	-1905.7556262667408	-2028.7233425197635	122.96771625302273	-2028.7233425197635	0.10694959727815515	0.3836083685251199	122.96771625302273	92.64687275057486	0.24203062320825824	1.0
54000	-1912.2114181038182	-2030.0128447157729	117.80142661195455	-2030.0128447157729	0.11719790290166411	0.42960284185530956	117.80142661195455	104.7798912597	0.24203062320825824	1.0
55000	-1906.4779838765653	-2025.5197042390562	119.04172036249099	-2025.5197042390562	0.10824764755306944	0.38364114711927216	119.04172036249099	141.5260238589908	0.24203062320825824	1.0
56000	-1905.746118096394	-2030.3058611178715	124.55974302147749	-2030.3058611178715	0.10261219888346038	0.364407477749026	124.55974302147749	85.92119763930098	0.24203062320825824	1.0
57000	-1904.0794481018968	-2025.6963379891433	121.61688988724644	-2025.6963379891433	0.10531764954575265	0.38218429352351657	121.61688988724644	67.42580683564258	0.24203062320825824	1.0
58000	-1902.3069752038768	-2026.5983796498049	124.29140444592801	-2026.5983796498049	0.10473618250441487	0.35723889768973843	124.29140444592801	125.57414179811313	0.24203062320825824	1.0
59000	-1909.425749853192	-2034.7639542871982	125.33820443400614	-2034.7639542871982	0.09022132119866745	0.357712934630384	125.33820443400614	91.38316787326886	0.3218304284838983	1.0
60000	-1901.46082726061	-2023.488352290711	122.02752503010115	-2023.488352290711	0.11196439914050768	0.39405614008922946	122.02752503010115	90.1391518117774	0.3218304284838983	1.0
61000	-1907.7932397253232	-2029.7669860856008	121.97374636027759	-2029.7669860856008	0.10321579266977163	0.3859785191308303	121.97374636027759	72.83088139061472	0.3218304284838983	1.0
62000	-1895.3398275207455	-2015.9041617359828	120.56433421523721	-2015.9041617359828	0.12533019106756021	0.40962067601816154	120.56433421523721	78.81416141954087	0.21837040430589105	1.0
63000	-1896.8400299748632	-2022.1889740201443	125.34894404528117	-2022.1889740201443	0.09892158499130763	0.3583995787621054	125.34894404528117	96.6225461340138	0.21837040430589105	1.0
64000	-1912.7973910907317	-2032.544303161702	119.74691207097028	-2032.544303161702	0.11535860031111567	0.41407547787664456	119.74691207097028	100.40896693971904	0.21837040430589105	1.0
65000	-1904.8942589961612	-2028.4322219463606	123.53796295019956	-2028.4322219463606	0.09414175517439524	0.37680991971359795	123.53796295019956	87.56392794091349	0.21837040430589105	1.0
66000	-1904.1440575757206	-2027.8392957603369	123.69523818461626	-2027.8392957603369	0.10009002571343452	0.37435066838937564	123.69523818461626	85.61944493329192	0.3889178238488887	1.0
67000	-1908.9254917250053	-2025.4721805935922	116.5466888685868	-2025.4721805935922	0.13020058911259993	0.4601675946823813	116.5466888685868	71.82814140750797	0.28679815019965543	1.0
68000	-1906.2541329543462	-2025.9641380526398	119.71000509829358	-2025.9641380526398	0.12030505798451134	0.4186388391847043	119.71000509829358	74.9137422785095	0.28679815019965543	1.0
69000	-1906.2035401809135	-2024.0038740464615	117.80033386554807	-2024.0038740464615	0.12552078805786845	0.443522310156763	117.80033386554807	84.77781600287572	0.28679815019965543	1.0
70000	-1902.8393024144102	-2024.9871913864142	122.1478889720041	-2024.9871913864142	0.10991428273088942	0.3920133007327771	122.1478889720041	83.93625043021605	0.24274530769693267	1.0
71000	-1904.7036521788834	-2027.8215296553992	123.11787747651584	-2027.8215296553992	0.10092543077199073	0.37839130758322476	123.11787747651584	105.85434697481173	0.24274530769693267	1.0
72000	-1899.3406385011442	-2021.550497678419	122.20985917727485	-2021.550497678419	0.10659046168615399	0.3717558156668893	122.20985917727485	128.2683007035413	0.24274530769693267	1.0
